content,content_title,content_author,content_copyright,style,style_title,style_author,style_copyright,weight,index,gifs,images,metadata,to_review
adamo.jpg,The Creation of Adam,Michelangelo,False,futuristic_composition.jpg,Futuristic Composition 1914,Joseph Stella,False,50000.0,134,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,grainstacks.jpg,Grainstacks,Claude Monet,False,50000.0,135,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,great_wave.jpg,The Great Wave off Kanagawa,Hokusai,False,50000.0,136,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,guernica.jpg,Guernica,Pablo Picasso,False,50000.0,137,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,harlequins-carnival.jpg,Harlequin's Carnival,Joan Miro,False,50000.0,138,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,hauptweg_und_nebenwege.jpg,Hauptweg und Nebenwege,Paul Klee,False,50000.0,139,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,"horse,_pipe_and_red_flower.jpg","Horse, Pipe and Red Flower",Joan Miro,False,50000.0,140,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,houses_at_auvers.jpg,Houses at Auvers,Vincent Van Gogh,False,50000.0,141,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,i_and_the_village.jpg,I and the Village,Marc Chagall,False,50000.0,142,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,improvisation_19.jpg,Improvisation XIX,Wassily Kandinsky,False,50000.0,143,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,improvisation_6_(afrikanisches).jpg,Improvisation VI,Wassily Kandinsky,False,50000.0,144,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,improvisation_deluge.jpg,Improvisation. Deluge,Wassily Kandinsky,False,50000.0,145,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,improvisation_dreamy.jpg,Improvisation. Dreamy,Wassily Kandinsky,False,50000.0,146,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,in_blue.jpg,In Blue,Wassily Kandinsky,False,50000.0,147,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,in_the_rain.jpg,In the Rain,Franz Marc,False,50000.0,148,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,interieur_mit_zwei_maedchen_anagoria.jfif,Interieur with Two Girls,Ludwig Kirchner,False,50000.0,149,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,invocation.jpg,Invocation,Paul Gauguin,False,50000.0,150,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,l_homme_a_femmes.jpg,The Ladie's Man,George Seurat,False,50000.0,151,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,landscape_with_child.jpg,Landscape with Child,Paul Klee,False,50000.0,152,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,le_bonheur_de_vivre.jpg,Le Bonheur de Vivre,Henri Matisse,False,50000.0,153,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,le_fumeur.jpg,The Smoker,Jean Metzinger,False,50000.0,154,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,les_demoiselles_davignon.jpg,The Young Ladies of Avignon,Pablo Picasso,False,50000.0,155,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,madrill.jpg,Madrill,Franz Marc,False,50000.0,156,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,marilyn_monroe.jpg,Marilyin Monroe,Andy Warhol,False,50000.0,157,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,meditation.jpg,Meditation 'Das Gebet',Alexej von Jawlensky,False,50000.0,158,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,montagne_sainte_victoire.jpg,Mountain Sainte Victoire,Paul Cezanne,False,50000.0,159,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,mosaic.jpeg,Mosaic,Unknown,False,50000.0,160,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,moscow.jpg,Moscow,Wassily Kandinsky,False,50000.0,161,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,mykonos.jpg,Mykonos,Margret Hofheinz Doring,False,50000.0,162,True,True,True,False
